id,sentence,tane,henkei,type
192,ここの部屋に入って最初ぐらいすかね,なし,なし,不明
193,学校は今日は何を勉強してきたんですか,なし,なし,不明
194,ちょっと私よく分からないんですけど,なし,なし,不明
195,流量はどれぐらい流れるかを計算したり,なし,なし,不明
196,分野のことを総合的に考える必要があるとは,なし,なし,不明
197,僕自身がコンクリートの研究室に入ってまして,なし,なし,不明
198,それを調べると何が分かるんですか,なし,なし,不明
199,君にはわからないだろうけど,なし,なし,不明
200,足掛かりになるんじゃないかという,なし,なし,不明
201,大変ですね地味な実験が多いんで,なし,なし,不明
202,思う程面白くなかったっていうところもちょっとはありますね,なし,なし,不明
203,線路敷くところからまず全部決めていくんだもんね,なし,なし,不明
204,複雑そうでいて結構簡単みたいな,なし,なし,不明
