id,sentence,tane,henkei,tane extraction,henkei extraction,tane match,henkei match,tane match2,henkei match2,type,thres
62,お弁当に、コメをつめこめる,コメ,つめこめる,,,,,,,,
63,魚屋のおっさんが　驚いた　「うおっ！！」・・・・<￣▽￣；>,魚屋,「うおっ！！」,,,,,,,,
64,【あいつは】幼女誘拐に酔う、女優かい？,幼女誘拐,酔う、女優かい,,,,,,,,
66,漫画コレクターが集まると、また始まるよ、自慢が,漫画,自慢が,,,,,,,,
67,ハイヤーについて廃案,ハイヤー,廃案,,,,,,,,
68,サイダーしか飲んでないっていうのに酒臭いだー,サイダー,臭いだー,,,,,,,,
69,今晩は、昆布の味噌汁,今晩,昆布,,,,,,,,
70,腹がへってはらはらした,腹,はらはら,,,,,,,,
71,古典の問題にコテンパンにやられた,古典,コテンパン,,,,,,,,
72,つまらないジョークを聞かされると、背中がジョークジョー,ジョーク,ジョークジョー,,,,,,,,
73,タンカー犯罪に加担かー？,タンカー,加担かー,,,,,,,,
74,夏季に食べた柿,夏季,柿,,,,,,,,
75,のびた君がめがねを取ったら目がねー,めがね,目がねー,,,,,,,,
76,アトランタ、…、あと何だ？,アトランタ,あと何だ,,,,,,,,
77,難所で何しよっとか？,難所,何しよ,,,,,,,,
78,家内には敵いません…,家内,敵いません,,,,,,,,
79,苦悩を抱えたまま、食うのう,苦悩,食うのう,,,,,,,,
80,カレンダーだれんだー俺んだー,カレンダー,だれんだー俺んだー,,,,,,,,
81,あらいやだ見たの？荒井、矢田、三田の三角関係,あらいやだ見たの,荒井、矢田、三田の三角関係,,,,,,,,
82,あ、やや遅れてきたあややだ,あ、やや,あやや,,,,,,,,
83,マッターホルンでまた吠えるん？,マッターホルン,また吠える,,,,,,,,
84,医科大の多い課題,医科大,多い課題,,,,,,,,
85,肥溜め<こえだめ>に長くいると、声ダメになる,肥溜め<こえだめ>,声ダメ,,,,,,,,
86,倒産時に社員を雇うサンジ,倒産時,雇うサンジ,,,,,,,,
87,松任谷さんに郵ミン,松任谷,郵ミン,,,,,,,,
89,一番センセーションな言葉は、「先生、しょんべん！」,センセーション,「先生、しょんべん！」,,,,,,,,
90,糖分は当分だめ,糖分,当分,,,,,,,,
91,あったかいコ－ヒ－はあったかい,あったかい,あったかい,,,,,,,,
92,クラウドから雷攻撃喰らうど,クラウド,喰らうど,,,,,,,,
93,マサチューセッツでまさに抽選っつーの,マサチューセッツ,まさに抽選っつー,,,,,,,,
94,釈迦はじゃかーしい？,釈迦,じゃかーしい,,,,,,,,
95,夏が似合う人に、「結構さまーになってる」,夏,さまーになってる,,,,,,,,
96,ロンパース着た人が論破する,ロンパース,論破する,,,,,,,,
97,ハイブリッドカーの中で、はい、ブリッとかーまします,ハイブリッドカー,はい、ブリッとかーまします,,,,,,,,
98,空腹のあまり、「からおけ屋」の看板が、「からあげ屋」に,からおけ屋,からあげ屋,,,,,,,,
99,蕎麦のそば,蕎麦,そば,,,,,,,,
101,武泰斗に、挑むタイトー,武泰斗,挑むタイトー,,,,,,,,
102,コーラを勝手に飲んだのは誰だ　コーラー,コーラ,コーラー,,,,,,,,
103,福田家の掃除は、拭くだけ？,福田家,拭くだけ,,,,,,,,
104,マウスが空に舞うっすー,マウス,舞うっすー,,,,,,,,
105,ホルモン食って穴を掘るもん,ホルモン,掘るもん,,,,,,,,
107,漫画を、見せないと不満顔,漫画を,不満顔,,,,,,,,
108,私のみかんが３日間、見っかんない・・・,みかん,見っかんない,,,,,,,,
110,アンコウ食べたら、あー、ウンコ,アンコウ,あー、ウンコ,,,,,,,,
111,猟銃を持って、医療従事,猟銃,医療従事,,,,,,,,
112,中田の名前がなかった,中田,なかった,,,,,,,,
113,知事見たチヂミ,知事,チヂミ,,,,,,,,
114,遅番の食事はお蕎麦,遅番,お蕎麦,,,,,,,,
115,天橋立で売ってる海女の箸<はし>だって,天橋立,海女の箸<はし>だって,,,,,,,,
116,このお金おっかねーーー,お金,おっかね,,,,,,,,
118,浜名湖で母まなこ<眼>いじる,浜名湖,母まなこ<眼>,,,,,,,,
119,三月で病み付き,三月,病み付き,,,,,,,,
120,菅送ったら、ミカンを食ったら？,菅送ったら,ミカンを食ったら,,,,,,,,
121,升<ます>がますます高価になります,升<ます>,ますますなります,,,,,,,,
122,詩歌を詠むのは易しいか？,詩歌,易しいか,,,,,,,,
124,いかりや長介様がお怒りや,いかりや,お怒りや,,,,,,,,
125,牛の笑い声はウッシッシ,牛,ウッシッシ,,,,,,,,
126,タックルしてひったっくる,タックル,ひったっくる,,,,,,,,
127,狼がトイレに入ったおおかみがねー,狼,おおかみ,,,,,,,,
128,有閑マダムがそんなこと言うかん？,有閑,言うかん,,,,,,,,
129,空が言ったそ～らみろ,空,そ～ら,,,,,,,,
130,大阪にも行かんさい,大阪,行かんさい,,,,,,,,
131,伊豆にいずか<いつか>いこうね,伊豆,いずか,,,,,,,,
132,埼玉県朝霞市はもう朝か～,朝霞,朝か,,,,,,,,
133,ダンクルオステウスがダンベルを捨て鬱,ダンクルオステウス,ダンベルを捨て鬱,,,,,,,,
134,イシダイ釣ったいしだ壱成,イシダイ,いしだ壱成,,,,,,,,
135,円が泣いたえ～ン,円,え～ン,,,,,,,,
136,七夕<たなばた>なので、棚からバター出して,七夕<たなばた>,棚からバター,,,,,,,,
137,肉ってとても食いにくい,肉,にくい,,,,,,,,
140,おそばが食べたいなら、おそばにおいでよ～♪,おそば,おそば,,,,,,,,
141,笠ヶ岳のそばは水かさが高けぇ,笠ヶ岳,水かさが高けぇ,,,,,,,,
142,三ツ矢サイダーの肴は三つ野菜だ,三ツ矢サイダー,三つ野菜だ,,,,,,,,
143,荒療治というのは、あら、料理？,荒療治,あら、料理？,,,,,,,,
144,ファクションキーを押したらくしゃみが出た。ファークショ,ファクションキー,ファークショ,,,,,,,,
145,「インドア派のあなたがインド？あは♪」,インドア派,インド？あは,,,,,,,,
146,医師の意志,医師,意志,,,,,,,,
147,板尾姉妹のおいた、お終い,板尾姉妹,おいた、お終い,,,,,,,,
148,信じ難い事に、真治が太鼓と肉体関係,信じ難い,真治が太鼓と肉体,,,,,,,,
149,冥土は亀戸にあり,冥土,亀戸,,,,,,,,
150,課長が猪鹿蝶<いのしかちょう>,課長,猪鹿蝶<いのしかちょう>,,,,,,,,
151,「音楽」で心配しぎると、「音が苦」になっちゃいますよ～,音楽,音が苦,,,,,,,,
152,あんみつが、あーん、３つ,あんみつ,あーん、３つ,,,,,,,,
153,簿価が低いのは田んぼか？,簿価,田んぼか,,,,,,,,
154,夜間は客観的になる,夜間,客観,,,,,,,,
155,愛のアイーン,愛,アイーン,,,,,,,,
156,父「ハァハァです」,父,ハァハァ,,,,,,,,
157,仙石氏の書いた戦国史,仙石氏,戦国史,,,,,,,,
158,イカサマの無い笠間,イカサマ,無い笠間,,,,,,,,
159,デカがでかした,デカ,でかした,,,,,,,,
160,紗世、奈良市内でサヨナラしない？,紗世,サヨナラ,,,,,,,,
162,二号店を開いたNIGO,二号,NIGO,,,,,,,,
163,エコカー買いにえこかー？,エコカー,買いにえこかー,,,,,,,,
164,窓が開かない。まぁ、どーしましょう？,窓,まぁ、どーしましょう,,,,,,,,
167,園児に網掛けたエンジニア見かけた,園児,エンジニア,,,,,,,,
168,戸塚をさらっと通過,戸塚,さらっと通過,,,,,,,,
169,カリカは狩りか?,カリカ,狩りか,,,,,,,,
170,FOMAのコストパフォーマンス,FOMA,コストパフォーマンス,,,,,,,,
171,鷲の絵を和紙に描く,鷲,和紙,,,,,,,,
172,商用のカローラ運転、腰に過労が腰痛,カローラ腰痛,過労が,,,,,,,,
173,レタスにそれ足す,レタス,それ足す,,,,,,,,
174,立派な山車だ！ダシ抜いたな？,山車,ダシ,,,,,,,,
175,辛子高菜を枯らしたかな？,辛子高菜,枯らしたかな,,,,,,,,
176,政権交代して、清健康体に,政権交代,清健康体,,,,,,,,
177,まさか、政治家たちは野生児か？,政治家,野生児か,,,,,,,,
178,イラクのイクラ,イラク,イクラ,,,,,,,,
179,ショーン・コネリーはショー来ねぇー,ショーン・コネリー,ショー来ねぇー,,,,,,,,
180,てんとう虫転倒、無視・・・,てんとう虫,転倒、無視,,,,,,,,
181,王が他県で買った大型犬,王が他県,大型犬,,,,,,,,
182,短歌の本は高い<たんかい>,短歌,高い<たんかい>,,,,,,,,
183,薬草を焼くぞー,薬草,焼くぞー,,,,,,,,
184,長崎県では長さ聞けん！？,長崎県,長さ聞けん,,,,,,,,
185,業務用は今日無用？,業務用,今日無用,,,,,,,,
186,キラーは嫌い,キラー,嫌い,,,,,,,,
187,蜂の数は８<はち>,蜂,８<はち>,,,,,,,,
188,苦笑する国生<こくしょう>,苦笑,国生<こくしょう>,,,,,,,,
189,葬式の新人退社で組織の新陳代謝,葬式新人退社,組織新陳代謝,,,,,,,,
190,千頭ではありませんとー？,千頭,ありませんとー？,,,,,,,,
191,タイタンへのたい短距離,タイタン,たい短距離,,,,,,,,
192,監督する菅、得する,監督する,菅、得する,,,,,,,,
193,ルーマニアのカンガルーマニア,ルーマニア,カンガルーマニア,,,,,,,,
194,名犬ラッシーの出身地は三重県らしい,名犬ラッシー,三重県らしい,,,,,,,,
195,まむしが日なたで一言「あ～まむし！」<まぶし>,まむし,まむし,,,,,,,,
196,オクラの出荷をおくらせる,オクラ,おくらせる,,,,,,,,
197,物まねをしたらすべってさらに氷で滑った,すべって,滑った,,,,,,,,
198,サンシャイン60に勤める、オッサン社員<60>,サンシャイン,オッサン社員,,,,,,,,
199,欧州連合が温泉旅行で、い～湯～だな♪,欧州連合,い～湯～,,,,,,,,
200,野茂家の模型,野茂家,模型,,,,,,,,
202,服部君の忍術は、８通り<はっとおり>,服部,８通り<はっとおり>,,,,,,,,
203,めざしを目指します,めざし,目指します,,,,,,,,
205,姪<めい>が命名,姪<めい>,命名,,,,,,,,
206,東海は都会？,東海,都会,,,,,,,,
207,解答の歌。カイトー♪カイトー♪<小人風に>,解答,カイトーカイトー,,,,,,,,
208,ワッシャーを持って行ったのは鷲<わし>やー,ワッシャー,鷲<わし>やー,,,,,,,,
209,蛙は飼える,蛙,飼える,,,,,,,,
210,佐渡に行って、さぁどうする？,佐渡,さぁどう,,,,,,,,
211,動名詞の使い方が、ウドうめーし,動名詞,ウドうめーし,,,,,,,,
212,前歯をしまえば,前歯,しまえば,,,,,,,,
213,硫黄島<いおうとう>で、胃嘔吐,硫黄島<いおうとう>,胃嘔吐,,,,,,,,
214,角野卓造、何描くの?,角野,描くの,,,,,,,,
215,なかなか完成しないシネマシネマで待てない,シネマ,シネマで待てない,,,,,,,,
216,メモにはいい面も悪い面もある,メモ,面も面もある,,,,,,,,
217,モデルガン持ったモデル癌,モデルガン,モデル癌,,,,,,,,
218,スーパー銭湯に行くのは数パーセントくらいかな？,スーパー銭湯,数パーセント,,,,,,,,
220,イルカの仲間いるか？,イルカ,いるか,,,,,,,,
221,泥岩のせいで胃癌,泥岩,胃癌,,,,,,,,
222,広州大会の出場者が、講習退会,広州大会,講習退会,,,,,,,,
224,アミちゃんが網にかかった,アミ,網,,,,,,,,
225,総会屋になるのは損かいや？,総会屋,損かいや,,,,,,,,
226,仏<ほとけ>の好きなホットケーキ,仏<ほとけ>,ホットケーキ,,,,,,,,
227,童貞だらけの坂東邸,童貞,坂東邸,,,,,,,,
228,手帳をとってちょ,手帳,とってちょ,,,,,,,,
229,池にいけー,池,いけ,,,,,,,,
230,バインダーはどう使えばいんだー！？,バインダー,使えばいんだー,,,,,,,,
231,君は石川の医師かぁ？,石川,医師かぁ,,,,,,,,
232,軽石売って、儲かる医師,軽石,儲かる医師,,,,,,,,
233,この映画、楽しネマした？,映画,楽しネマした？,,,,,,,,
234,ねぇ昆虫、こんちゅ、向ーいて♪,昆虫,こんちゅ、向ーいて,,,,,,,,
235,漁業をやってます。ギョギョッ,漁業,ギョギョッ,,,,,,,,
236,大食漢が退職かん？,大食漢,退職かん,,,,,,,,
237,俳諧している時はHighかい？,俳諧,Highかい,,,,,,,,
238,カモかもね,カモ,かも,,,,,,,,
239,物理科の連中を、ぶつ里香,物理科,ぶつ里香,,,,,,,,
240,出荷できないでしゅっか？,出荷,しゅっか,,,,,,,,
241,吉川晃司の実家は工事,晃司,工事,,,,,,,,
242,「縮こまる野田」では知事困るのだ,縮こまる野田,知事困るのだ,,,,,,,,
246,先生が選手宣誓した,先生,宣誓,,,,,,,,
247,ケツ黒い猫が毛繕い,ケツ黒い,毛繕い,,,,,,,,
248,山梨は良い山なし,山梨,山なし,,,,,,,,
249,これは、マッチに間違いない,マッチ,間違い,,,,,,,,
250,メモしろ！おめーも,メモ,おめーも,,,,,,,,
251,体育館の倉庫迂回してタイ行く菅の壮行会して,体育館の倉庫迂回して,タイ行く菅の壮行会して,,,,,,,,
253,ステテコを捨ててこう,ステテコ,捨ててこう,,,,,,,,
256,西洋人にSay！「用事」,西洋人,Say！「用事」,,,,,,,,
257,最下位の原因は野菜かい？,最下位,野菜かい,,,,,,,,
258,名刺の代名詞,名刺,代名詞,,,,,,,,
259,看護師が股間ゴシゴシ,看護師,股間ゴシゴシ,,,,,,,,
260,カクテルと書くテル,カクテル,書くテル,,,,,,,,
261,大学院の仲代がクイーン,大学院,クイーン,,,,,,,,
262,同好会のうどん粉かい？,同好会,うどん粉かい,,,,,,,,
263,生島の指テクに、イク志麻,生島,イク志麻,,,,,,,,
264,俳諧している場所は上海かい？,俳諧,上海かい,,,,,,,,
265,猫が寝こむ,猫,寝こむ,,,,,,,,
266,熟考した塾講師,熟考し,塾講師,,,,,,,,
267,マツタケ、たまったけ？,マツタケ,たまったけ,,,,,,,,
268,神奈川大でマナカナが話題,神奈川大,マナカナが話題,,,,,,,,
269,くじは、９時に抽選します,くじ,９時,,,,,,,,
270,添乗員、天井いんの？,添乗員,天井いんの,,,,,,,,
271,お題は「台返し」,題,台,,,,,,,,
272,浅野中で欠かさない、朝のチュー,浅野中,朝のチュー,,,,,,,,
275,越境は、えっ、今日？,越境,えっ、今日,,,,,,,,
276,ビーズは、美術品<びずつひん>です,ビーズ,美術品<びずつひん>,,,,,,,,
278,冥王星人と姪追う成人,冥王星人,姪追う成人,,,,,,,,
279,誤りを謝って済むか？,誤り,謝って,,,,,,,,
280,軍資金で米軍失禁,軍資金,米軍失禁,,,,,,,,
281,車が来るまでまとう,車,来るまで,,,,,,,,
282,神奈川君の願いは、かながわない<叶わない>,神奈川,かながわない<叶わない>,,,,,,,,
283,肩おかしいのは片岡氏,肩おかしい,片岡氏,,,,,,,,
284,メイヤはオレの姪やねん!,メイヤ,姪や,,,,,,,,
285,名刺を渡すのは、朝めーし前,名刺,朝めーし,,,,,,,,
286,股間が凍るような酷寒,股間,酷寒,,,,,,,,
287,ナタを買ったのはどなた？,ナタ,どなた,,,,,,,,
289,ヨーヨー・マが酔う、洋間,ヨーヨー・マ,酔う、洋間,,,,,,,,
290,モスクはモスクワより南にある,モスクは,モスクワ,,,,,,,,
291,俳諧の人の位牌かい？,俳諧,位牌かい,,,,,,,,
292,松田聖子が待つだ、先公,松田聖子,待つだ、先公,,,,,,,,
293,川で言葉を交わす,川,交わす,,,,,,,,
294,面倒だからといってやめんどー,面倒,やめんどー,,,,,,,,
295,他国の凧,他国,凧,,,,,,,,
296,貸衣装屋はおかしい庄屋,貸衣装屋,おかしい庄屋,,,,,,,,
297,蝿が速えー,蝿,速えー,,,,,,,,
298,ウンカと違うんか？,ウンカ,違うんか,,,,,,,,
299,アウトソーシングの人に会うと総身グッチだった,アウトソーシング,会うと総身グッチ,,,,,,,,
300,投資家が食べるお通しか？,投資家,お通しか,,,,,,,,
301,青森であ～お守り,青森,あ～お守り,,,,,,,,
302,今朝追加したのは警察医か？,今朝追加,警察医か,,,,,,,,
303,オオカミ男がトイレで叫んだ！「おお！カミよ！どこ！？」<オオカミおとこ！>,オオカミ男,「おお！カミよ！どこ！？」<オオカミおとこ！>,,,,,,,,
304,土のうはどの辺に置きますか？,土のう,どの辺に,,,,,,,,
305,このバッテラ、いばってら,バッテラ,いばってら,,,,,,,,
306,水を見ず,水,見ず,,,,,,,,
308,時計はほっとけい,時計,ほっとけい,,,,,,,,
309,選挙カーが駅前占拠かー？,選挙カー,占拠かー,,,,,,,,
310,中田が医師と仲違いした,中田が医師,仲違いした,,,,,,,,
311,このマンゴー、まんごですか？,マンゴー,まんご,,,,,,,,
312,木星を刮目<かつもく>せい,木星,刮目<かつもく>せい,,,,,,,,
313,ウルフ氏のお宝を、売る父子,ウルフ氏,売る父子,,,,,,,,
316,シングルが１人で聴くシングルベル,シングル,シングルベル,,,,,,,,
317,ハムスターとハム酢豚,ハムスター,ハム酢豚,,,,,,,,
318,イカとゾウが喧嘩　いかんぞう,イカゾウ,いかんぞう,,,,,,,,
319,バックショットで爆笑,バックショット,爆笑,,,,,,,,
320,バレッタで不倫ばれた,バレッタ,ばれた,,,,,,,,
321,陽江市で、酒に酔う講師,陽江市,酔う講師,,,,,,,,
322,ライスはつらいっす,ライス,つらいっす,,,,,,,,
323,モンゴルで顧問ゴルフ,モンゴル,顧問ゴルフ,,,,,,,,
324,処方を間違えるなんて、初歩的なミスだぞ,処方,初歩,,,,,,,,
325,「最後の砦<とりで>」は、取手市民には禁句,砦<とりで>,取手,,,,,,,,
326,田舎にいなかった,田舎,いなかった,,,,,,,,
327,缶コーヒー飲んで観光費を払う,缶コーヒー,観光費,,,,,,,,
328,所轄の脅しにも秘書、勝つ,所轄,秘書、勝つ,,,,,,,,
329,占いに必要な甲羅ない？,占い,甲羅ない,,,,,,,,
330,「見繕って」って言ったけど、三つ黒って・・・,見繕って,三つ黒って,,,,,,,,
331,ファン・シネの悩みは、実力への不安視ね,ファン・シネ,不安視ね,,,,,,,,
333,cubeに乗ってる、野球部,cube,野球部,,,,,,,,
334,我々のリーダーは何が売りーだー？,リーダー,売りーだー,,,,,,,,
335,折畳み傘を手に降り立った美香さん,折畳み傘,降り立った美香さん,,,,,,,,
336,調子が、良好の星陵高,良好,星陵高,,,,,,,,
337,イルカのプロファイルか？,イルカ,プロファイルか,,,,,,,,
339,七草がゆが食べられなくて、な、泣くさ,七草がゆ,な、泣くさ,,,,,,,,
340,ミッキーを見切りまーす,ミッキー,見切りまーす,,,,,,,,
341,「鈴木くんこの前山で遭難したらしいよ～」「そうなん？」,遭難,そうなん,,,,,,,,
342,両隣の国曰く、「ここはうちの領土なり」,両隣,領土なり,,,,,,,,
343,内股を打っちまったー,内股,打っちまったー,,,,,,,,
345,商いは、飽きない？,商い,飽きない,,,,,,,,
346,美輪蹴るヨーダが見分けるようだ,美輪蹴るヨーダ,見分けるようだ,,,,,,,,
347,アスリートは、明日<あす>、離島,アスリート,明日<あす>、離島,,,,,,,,
348,舘ひろしがタッチ披露した,舘ひろし,タッチ披露した,,,,,,,,
349,どうせ私は、エロくも、偉くもないですよ～,エロくも,偉くも,,,,,,,,
350,マーレーさんは泳ぎが苦手なんだってね、まーれんしゅうしだいだな,マーレー,まーれんしゅうしだい,,,,,,,,
351,薬<ヤク>ありますぜと、ささやく,薬<ヤク>,ささやく,,,,,,,,
352,たこが言った。このタコが,たこ,タコ,,,,,,,,
353,フィリピンの料理は、麩<ふ>入り逸品,フィリピン,麩<ふ>入り逸品,,,,,,,,
354,手帳は丁重に扱え,手帳,丁重,,,,,,,,
355,チャイムが鳴っちゃいむ,チャイム,鳴っちゃいむ,,,,,,,,
356,米が無くてコメったなぁ,米,コメった,,,,,,,,
357,夏、菓子買ったのが懐かしかった～,夏、菓子買った,懐かしかった～,,,,,,,,
358,陶芸家が思いを遂げっか？,陶芸家,遂げっか,,,,,,,,
359,不快な豆腐かい？,不快,豆腐かい,,,,,,,,
360,豪快な統合かい？,豪快,統合かい,,,,,,,,
361,仕分けして嬉しいわけ？,仕分け,嬉しいわけ,,,,,,,,
362,鳥肉は取りにくい,鳥肉,取りにくい,,,,,,,,
363,かえるがかえる,かえる,かえる,,,,,,,,
364,結婚相手はジャイアンじゃいやーん,ジャイアン,じゃいやーん,,,,,,,,
365,理解するのは無理かい？,理解,無理かい,,,,,,,,
366,このルアーはつれルアー,ルアー,つれルアー,,,,,,,,
367,サケは叫べん,サケ,叫べん,,,,,,,,
368,豚汁を疎んじる,豚汁,疎んじる,,,,,,,,
369,アンコールワットでは、アンコールは控えなさい,アンコールワット,アンコールは,,,,,,,,
370,抗酸化のサプリをよこさんか？,抗酸化,よこさんか,,,,,,,,
371,日本が沈んだ!ジャッパーン,日本,ジャッパーン,,,,,,,,
372,腹具合悪いのに、パラグアイだと？,腹具合,パラグアイ,,,,,,,,
373,モルジブですることは、もろ自分にかかってくる,モルジブ,もろ自分,,,,,,,,
374,シュートを習得,シュート,習得,,,,,,,,
375,東京タワーから落ちたわー,タワー,落ちたわー,,,,,,,,
376,伯方<はかた>の塩、計ったら無しよ,伯方<はかた>の塩,計ったら無しよ,,,,,,,,
377,サイをください,サイ,ください,,,,,,,,
378,点呼する側に転向,点呼,転向,,,,,,,,
379,敬老の日ぐらい、実家に帰<けえ>ろう,敬老,帰<けえ>ろう,,,,,,,,
380,クモの他に食うもんある？,クモ,食うもん,,,,,,,,
381,ロマンスカーでロマンスかー？,ロマンスカー,ロマンスかー,,,,,,,,
382,おコタが落っこった,おコタ,落っこった,,,,,,,,
384,草は臭い,草,臭い,,,,,,,,
385,高度計のコードけー？,高度計,コードけー,,,,,,,,
386,ナウルの粉売る,ナウル,粉売る,,,,,,,,
387,ミカンを食べたのは君かん？,ミカン,君かん,,,,,,,,
388,マヨネーズで迷んねーっす,マヨネーズ,迷んねーっす,,,,,,,,
389,ドーナツのコストはどうなってるの？,ドーナツ,どうなってる,,,,,,,,
390,うるおい化粧水を、売る甥,うるおい,売る甥,,,,,,,,
391,餅つきする時は、落ち着き,餅つき,落ち着き,,,,,,,,
392,業火に耐えたら、合格,業火,合格,,,,,,,,
393,この委員会でいいんかい？,委員会,いいんかい,,,,,,,,
394,粗品を配るのは、断乎<だんこ>、阻止な,粗品,阻止な,,,,,,,,
395,雨が止みますように。アーメン,雨,アーメン,,,,,,,,
396,まんじゅうが一万十一個,まんじゅう,一万十一,,,,,,,,
397,松島で、夫を待つ志麻,松島,待つ志麻,,,,,,,,
398,中畑退場で泣かはったタイ嬢,中畑退場,泣かはったタイ嬢,,,,,,,,
399,野菜は安い？,野菜,安い,,,,,,,,
400,基本を知ろうとするところを見ると、素人？,知ろうと,素人,,,,,,,,
401,ハゲたかはハゲたか？,ハゲたか,ハゲたか,,,,,,,,
402,化膿するかのう？,化膿,かのう,,,,,,,,
403,井伊直弼を見直すけ？,直弼,見直すけ,,,,,,,,
404,中年がなんだっちゅうねん,中年,なんだっちゅうねん,,,,,,,,
405,ツイッターでつい言ったー,ツイッター,つい言ったー,,,,,,,,
406,素人にどうしろーと？,素人,どうしろーと,,,,,,,,
407,菓子大会に参加したいかい？,菓子大会,参加したいかい,,,,,,,,
408,ここで蕎麦と、相場が決まってる,蕎麦,相場,,,,,,,,
409,セイロン島で正論,セイロン島,正論,,,,,,,,
410,ミシガン州はミシンが高い,ミシガン,ミシンが,,,,,,,,
411,扁桃腺が腫れているので、返答せん,扁桃腺,返答せん,,,,,,,,
412,誇らしげに、祠<ほこら>を見せる,誇らしげ,祠<ほこら>を,,,,,,,,
413,マイクロバスのマイクをパス,マイクロバス,マイクをパス,,,,,,,,
414,ヘリの縁<へり>につかまる,ヘリ,縁<へり>,,,,,,,,
415,ドドイツ歌ってるの、ど、どいつ？,ドドイツ,ど、どいつ,,,,,,,,
416,便器に便宜を図る,便器,便宜,,,,,,,,
417,内科はどこかにないか？,内科,ないか？,,,,,,,,
